Driver_type,FROM_ORG_UNIT_ID,FROM_COST_TYPE_ID,TO_COST_TYPE_ID,TO_ORG_UNIT_ID,VALUE,V_MAKER_REMARKS
CPTTPB,115700211465,99,9901,115700211465,1.0,
CPTTPB,115700213465,99,9901,115700213465,1.0,
CPTTPB,115700215465,99,9901,115700215465,1.0,
CPTTPB,115700217465,99,9901,115700217465,1.0,
CPTTPB,115700222465,99,9901,115700222465,1.0,
CPTTPB,115700260465,99,9901,115700260465,1.0,
CPTTPB,115700268465,99,9901,115700268465,1.0,
CPTTPB,115700310465,99,9901,115700310465,1.0,
CPTTPB,115700321465,99,9901,115700321465,1.0,
CPTTPB,115700323465,99,9901,115700323465,1.0,
CPTTPB,115700341465,99,9901,115700341465,1.0,
CPTTPB,115700368465,99,9901,115700368465,1.0,
CPTTPB,115700371465,99,9901,115700371465,1.0,
CPTTPB,115700390465,99,9901,115700390465,1.0,
CPTTPB,115700395465,99,9901,115700395465,1.0,
CPTTPB,115700398465,99,9901,115700398465,1.0,
CPTTPB,115700425465,99,9901,115700425465,1.0,
CPTTPB,115700450465,99,9901,115700450465,1.0,
CPTTPB,115700452465,99,9901,115700452465,1.0,
CPTTPB,115700460465,99,9901,115700460465,1.0,
CPTTPB,115700471465,99,9901,115700471465,1.0,
CPTTPB,115700501465,99,9901,115700501465,1.0,
CPTTPB,115700502465,99,9901,115700502465,1.0,
CPTTPB,115700505465,99,9901,115700505465,1.0,
CPTTPB,115700510465,99,9901,115700510465,1.0,
CPTTPB,115700531465,99,9901,115700531465,1.0,
CPTTPB,115700540465,99,9901,115700540465,1.0,
CPTTPB,115700566465,99,9901,115700566465,1.0,
CPTTPB,115700570465,99,9901,115700570465,1.0,
CPTTPB,115700573465,99,9901,115700573465,1.0,
CPTTPB,115700580465,99,9901,115700580465,1.0,
CPTTPB,115700601465,99,9901,115700601465,1.0,
CPTTPB,115700631465,99,9901,115700631465,1.0,
CPTTPB,115700632465,99,9901,115700632465,1.0,
CPTTPB,115700633465,99,9901,115700633465,1.0,
CPTTPB,115700635465,99,9901,115700635465,1.0,
CPTTPB,115700636465,99,9901,115700636465,1.0,
CPTTPB,115700650465,99,9901,115700650465,1.0,
CPTTPB,115700655465,99,9901,115700655465,1.0,
CPTTPB,115700680465,99,9901,115700680465,1.0,
CPTTPB,115700686465,99,9901,115700686465,1.0,
CPTTPB,115700701465,99,9901,115700701465,1.0,
CPTTPB,115700710465,99,9901,115700710465,1.0,
CPTTPB,115700741465,99,9901,115700741465,1.0,
CPTTPB,115700760465,99,9901,115700760465,1.0,
CPTTPB,115700785465,99,9901,115700785465,1.0,
CPTTPB,115700788465,99,9901,115700788465,1.0,
CPTTPB,116700119521,99,9901,116700119521,1.0,
CPTTPB,116700120521,99,9901,116700120521,1.0,
CPTTPB,116700121521,99,9901,116700121521,1.0,
CPTTPB,116700122521,99,9901,116700122521,1.0,
CPTTPB,116700123521,99,9901,116700123521,1.0,
CPTTPB,116700124521,99,9901,116700124521,1.0,
CPTTPB,116700125521,99,9901,116700125521,1.0,
CPTTPB,116700126521,99,9901,116700126521,1.0,
CPTTPB,116700130521,99,9901,116700130521,1.0,
CPTTPB,116700132521,99,9901,116700132521,1.0,
CPTTPB,116700135521,99,9901,116700135521,1.0,
CPTTPB,116700138521,99,9901,116700138521,1.0,
CPTTPB,116700140521,99,9901,116700140521,1.0,
CPTTPB,116700141521,99,9901,116700141521,1.0,
CPTTPB,116700147521,99,9901,116700147521,1.0,
CPTTPB,116700150521,99,9901,116700150521,1.0,
CPTTPB,116700151521,99,9901,116700151521,1.0,
CPTTPB,116700160521,99,9901,116700160521,1.0,
CPTTPB,116700211521,99,9901,116700211521,1.0,
CPTTPB,116700212521,99,9901,116700212521,1.0,
CPTTPB,116700213521,99,9901,116700213521,1.0,
CPTTPB,116700214521,99,9901,116700214521,1.0,
CPTTPB,116700215521,99,9901,116700215521,1.0,
CPTTPB,116700220521,99,9901,116700220521,1.0,
CPTTPB,116700222521,99,9901,116700222521,1.0,
CPTTPB,116700260521,99,9901,116700260521,1.0,
CPTTPB,116700310521,99,9901,116700310521,1.0,
CPTTPB,116700313521,99,9901,116700313521,1.0,
CPTTPB,116700321521,99,9901,116700321521,1.0,
CPTTPB,116700330521,99,9901,116700330521,1.0,
CPTTPB,116700351521,99,9901,116700351521,1.0,
CPTTPB,116700371521,99,9901,116700371521,1.0,
CPTTPB,116700375521,99,9901,116700375521,1.0,
CPTTPB,116700390521,99,9901,116700390521,1.0,
CPTTPB,116700421521,99,9901,116700421521,1.0,
CPTTPB,116700432521,99,9901,116700432521,1.0,
CPTTPB,116700440521,99,9901,116700440521,1.0,
CPTTPB,116700450521,99,9901,116700450521,1.0,
CPTTPB,116700460521,99,9901,116700460521,1.0,
CPTTPB,116700465521,99,9901,116700465521,1.0,
CPTTPB,116700483521,99,9901,116700483521,1.0,
CPTTPB,116700501521,99,9901,116700501521,1.0,
CPTTPB,116700510521,99,9901,116700510521,1.0,
CPTTPB,116700520521,99,9901,116700520521,1.0,
CPTTPB,116700531521,99,9901,116700531521,1.0,
CPTTPB,116700540521,99,9901,116700540521,1.0,
CPTTPB,116700551521,99,9901,116700551521,1.0,
CPTTPB,116700560521,99,9901,116700560521,1.0,
CPTTPB,116700561521,99,9901,116700561521,1.0,
CPTTPB,116700562521,99,9901,116700562521,1.0,
CPTTPB,116700580521,99,9901,116700580521,1.0,
CPTTPB,116700590521,99,9901,116700590521,1.0,
CPTTPB,116700601521,99,9901,116700601521,1.0,
CPTTPB,116700611521,99,9901,116700611521,1.0,
CPTTPB,116700620521,99,9901,116700620521,1.0,
CPTTPB,116700621521,99,9901,116700621521,1.0,
CPTTPB,116700625521,99,9901,116700625521,1.0,
CPTTPB,116700631521,99,9901,116700631521,1.0,
CPTTPB,116700635521,99,9901,116700635521,1.0,
CPTTPB,116700650521,99,9901,116700650521,1.0,
CPTTPB,116700651521,99,9901,116700651521,1.0,
CPTTPB,116700661521,99,9901,116700661521,1.0,
CPTTPB,116700670521,99,9901,116700670521,1.0,
CPTTPB,116700680521,99,9901,116700680521,1.0,
CPTTPB,116700691521,99,9901,116700691521,1.0,
CPTTPB,116700701521,99,9901,116700701521,1.0,
CPTTPB,116700710521,99,9901,116700710521,1.0,
CPTTPB,116700721521,99,9901,116700721521,1.0,
CPTTPB,116700730521,99,9901,116700730521,1.0,
CPTTPB,116700735521,99,9901,116700735521,1.0,
CPTTPB,116700742521,99,9901,116700742521,1.0,
CPTTPB,116700750521,99,9901,116700750521,1.0,
CPTTPB,116700760521,99,9901,116700760521,1.0,
CPTTPB,117700111618,99,9901,117700111618,1.0,
CPTTPB,117700116618,99,9901,117700116618,1.0,
CPTTPB,117700117618,99,9901,117700117618,1.0,
CPTTPB,117700118618,99,9901,117700118618,1.0,
CPTTPB,117700119698,99,9901,117700119698,1.0,
CPTTPB,117700120698,99,9901,117700120698,1.0,
