LEVEL_06_CODE ,TÊN GỐC,Tên khối
115600199440,,KHOI TAC NGHIEP
115600199446,,KHOI TAC NGHIEP
117700199618,,KHOI HO TRO
119000199000,,BO PHAN CHUNG
120700199950,,BAN LANH DAO
21199,,
111100211021,,KHOI BAN BUON
111100211022,,KHOI BAN BUON
111100211023,,KHOI BAN BUON
111100211024,,KHOI BAN BUON
111100211025,,KHOI BAN BUON
112100211121,,KHOI BAN LE
112100211122,,KHOI BAN LE
112100211123,,KHOI BAN LE
112100211155,,KHOI BAN LE
112100211156,,KHOI BAN LE
112100211157,,KHOI BAN LE
112100211158,,KHOI BAN LE
112100211159,,KHOI BAN LE
114600211335,,KHOI QUAN LY RUI RO
115600211440,,KHOI TAC NGHIEP
115600211446,,KHOI TAC NGHIEP
115700211465,,KHOI TAC NGHIEP
116700211521,,KHOI TAI CHINH-KE TOAN
117700211698,,KHOI HO TRO
119000211000,,BO PHAN CHUNG
120700211950,,BAN LANH DAO
21299,,
111100212021,,KHOI BAN BUON
111100212022,,KHOI BAN BUON
111100212023,,KHOI BAN BUON
111100212024,,KHOI BAN BUON
112100212121,,KHOI BAN LE
112100212122,,KHOI BAN LE
112100212123,,KHOI BAN LE
112100212151,,KHOI BAN LE
112100212152,,KHOI BAN LE
112100212153,,KHOI BAN LE
112100212154,,KHOI BAN LE
114600212335,,KHOI QUAN LY RUI RO
115600212440,,KHOI TAC NGHIEP
115600212446,,KHOI TAC NGHIEP
116700212521,,KHOI TAI CHINH-KE TOAN
117700212698,,KHOI HO TRO
119000212000,,BO PHAN CHUNG
120700212950,,BAN LANH DAO
21399,,
111100213021,,KHOI BAN BUON
111100213022,,KHOI BAN BUON
112100213121,,KHOI BAN LE
112100213122,,KHOI BAN LE
112100213151,,KHOI BAN LE
112100213152,,KHOI BAN LE
112100213153,,KHOI BAN LE
112100213154,,KHOI BAN LE
112100213155,,KHOI BAN LE
112100213159,,KHOI BAN LE
114600213335,,KHOI QUAN LY RUI RO
115600213440,,KHOI TAC NGHIEP
115600213446,,KHOI TAC NGHIEP
115700213465,,KHOI TAC NGHIEP
116700213521,,KHOI TAI CHINH-KE TOAN
117700213698,,KHOI HO TRO
119000213000,,BO PHAN CHUNG
120700213950,,BAN LANH DAO
21499,,
111100214021,,KHOI BAN BUON
111100214022,,KHOI BAN BUON
111100214023,,KHOI BAN BUON
111100214025,,KHOI BAN BUON
112100214121,,KHOI BAN LE
112100214122,,KHOI BAN LE
112100214150,,KHOI BAN LE
