LEVEL_06_CODE ,Loa (mã khối),Tên khối
119000151000,19.0,BO PHAN CHUNG
120700151950,20.0,BAN LANH DAO
15999,,
111100159021,11.0,KHOI BAN BUON
111100159022,11.0,KHOI BAN BUON
112100159121,12.0,KHOI BAN LE
112100159150,12.0,KHOI BAN LE
112100159151,12.0,KHOI BAN LE
112100159152,12.0,KHOI BAN LE
112100159154,12.0,KHOI BAN LE
114600159335,14.0,KHOI QUAN LY RUI RO
115600159440,15.0,KHOI TAC NGHIEP
115600159446,15.0,KHOI TAC NGHIEP
117700159618,17.0,KHOI HO TRO
119000159000,19.0,BO PHAN CHUNG
120700159950,20.0,BAN LANH DAO
16099,,
111100160021,11.0,KHOI BAN BUON
111100160022,11.0,KHOI BAN BUON
111100160023,11.0,KHOI BAN BUON
111100160024,11.0,KHOI BAN BUON
111600160091,11.0,KHOI BAN BUON
111600160092,11.0,KHOI BAN BUON
111600160093,11.0,KHOI BAN BUON
111600160094,11.0,KHOI BAN BUON
111600160095,11.0,KHOI BAN BUON
112100160121,12.0,KHOI BAN LE
112100160122,12.0,KHOI BAN LE
112100160151,12.0,KHOI BAN LE
112100160152,12.0,KHOI BAN LE
112100160153,12.0,KHOI BAN LE
112100160154,12.0,KHOI BAN LE
114600160336,14.0,KHOI QUAN LY RUI RO
114600160337,14.0,KHOI QUAN LY RUI RO
115600160440,15.0,KHOI TAC NGHIEP
115600160446,15.0,KHOI TAC NGHIEP
116700160521,16.0,KHOI TAI CHINH-KE TOAN
117700160698,17.0,KHOI HO TRO
119000160000,19.0,BO PHAN CHUNG
120700160950,20.0,BAN LANH DAO
19999,,
111100199021,11.0,KHOI BAN BUON
111100199023,11.0,KHOI BAN BUON
112100199121,12.0,KHOI BAN LE
112100199150,12.0,KHOI BAN LE
112100199151,12.0,KHOI BAN LE
112100199152,12.0,KHOI BAN LE
112100199154,12.0,KHOI BAN LE
112100199158,12.0,KHOI BAN LE
114600199335,14.0,KHOI QUAN LY RUI RO
115600199440,15.0,KHOI TAC NGHIEP
115600199446,15.0,KHOI TAC NGHIEP
117700199618,17.0,KHOI HO TRO
119000199000,19.0,BO PHAN CHUNG
120700199950,20.0,BAN LANH DAO
21199,,
111100211021,11.0,KHOI BAN BUON
111100211022,11.0,KHOI BAN BUON
111100211023,11.0,KHOI BAN BUON
111100211024,11.0,KHOI BAN BUON
111100211025,11.0,KHOI BAN BUON
112100211121,12.0,KHOI BAN LE
112100211122,12.0,KHOI BAN LE
112100211123,12.0,KHOI BAN LE
112100211155,12.0,KHOI BAN LE
112100211156,12.0,KHOI BAN LE
112100211157,12.0,KHOI BAN LE
112100211158,12.0,KHOI BAN LE
112100211159,12.0,KHOI BAN LE
114600211335,14.0,KHOI QUAN LY RUI RO
115600211440,15.0,KHOI TAC NGHIEP
115600211446,15.0,KHOI TAC NGHIEP
115700211465,15.0,KHOI TAC NGHIEP
116700211521,16.0,KHOI TAI CHINH-KE TOAN
117700211698,17.0,KHOI HO TRO
119000211000,19.0,BO PHAN CHUNG
120700211950,20.0,BAN LANH DAO
21299,,
111100212021,11.0,KHOI BAN BUON
111100212022,11.0,KHOI BAN BUON
111100212023,11.0,KHOI BAN BUON
111100212024,11.0,KHOI BAN BUON
112100212121,12.0,KHOI BAN LE
112100212122,12.0,KHOI BAN LE
112100212123,12.0,KHOI BAN LE
112100212151,12.0,KHOI BAN LE
112100212152,12.0,KHOI BAN LE
112100212153,12.0,KHOI BAN LE
112100212154,12.0,KHOI BAN LE
114600212335,14.0,KHOI QUAN LY RUI RO
115600212440,15.0,KHOI TAC NGHIEP
115600212446,15.0,KHOI TAC NGHIEP
116700212521,16.0,KHOI TAI CHINH-KE TOAN
117700212698,17.0,KHOI HO TRO
119000212000,19.0,BO PHAN CHUNG
120700212950,20.0,BAN LANH DAO
21399,,
111100213021,11.0,KHOI BAN BUON
111100213022,11.0,KHOI BAN BUON
112100213121,12.0,KHOI BAN LE
112100213122,12.0,KHOI BAN LE
112100213151,12.0,KHOI BAN LE
112100213152,12.0,KHOI BAN LE
112100213153,12.0,KHOI BAN LE
112100213154,12.0,KHOI BAN LE
112100213155,12.0,KHOI BAN LE
112100213159,12.0,KHOI BAN LE
114600213335,14.0,KHOI QUAN LY RUI RO
115600213440,15.0,KHOI TAC NGHIEP
115600213446,15.0,KHOI TAC NGHIEP
115700213465,15.0,KHOI TAC NGHIEP
116700213521,16.0,KHOI TAI CHINH-KE TOAN
117700213698,17.0,KHOI HO TRO
119000213000,19.0,BO PHAN CHUNG
120700213950,20.0,BAN LANH DAO
21499,,
111100214021,11.0,KHOI BAN BUON
111100214022,11.0,KHOI BAN BUON
111100214023,11.0,KHOI BAN BUON
111100214025,11.0,KHOI BAN BUON
112100214121,12.0,KHOI BAN LE
112100214122,12.0,KHOI BAN LE
112100214150,12.0,KHOI BAN LE
112100214151,12.0,KHOI BAN LE
112100214152,12.0,KHOI BAN LE
112100214153,12.0,KHOI BAN LE
112100214154,12.0,KHOI BAN LE
114600214335,14.0,KHOI QUAN LY RUI RO
115600214440,15.0,KHOI TAC NGHIEP
115600214446,15.0,KHOI TAC NGHIEP
116700214521,16.0,KHOI TAI CHINH-KE TOAN
117700214608,17.0,KHOI HO TRO
117700214698,17.0,KHOI HO TRO
119000214000,19.0,BO PHAN CHUNG
120700214950,20.0,BAN LANH DAO
21599,,
111100215021,11.0,KHOI BAN BUON
111100215022,11.0,KHOI BAN BUON
111100215023,11.0,KHOI BAN BUON
112100215121,12.0,KHOI BAN LE
112100215122,12.0,KHOI BAN LE
112100215123,12.0,KHOI BAN LE
112100215150,12.0,KHOI BAN LE
112100215152,12.0,KHOI BAN LE
112100215155,12.0,KHOI BAN LE
112100215157,12.0,KHOI BAN LE
112100215158,12.0,KHOI BAN LE
112100215160,12.0,KHOI BAN LE
114600215335,14.0,KHOI QUAN LY RUI RO
115600215440,15.0,KHOI TAC NGHIEP
115600215446,15.0,KHOI TAC NGHIEP
115700215465,15.0,KHOI TAC NGHIEP
116700215521,16.0,KHOI TAI CHINH-KE TOAN
117700215698,17.0,KHOI HO TRO
119000215000,19.0,BO PHAN CHUNG
120700215950,20.0,BAN LANH DAO
21699,,
111100216021,11.0,KHOI BAN BUON
111100216022,11.0,KHOI BAN BUON
112100216122,12.0,KHOI BAN LE
112100216150,12.0,KHOI BAN LE
112100216151,12.0,KHOI BAN LE
112100216152,12.0,KHOI BAN LE
112100216153,12.0,KHOI BAN LE
112100216155,12.0,KHOI BAN LE
112100216157,12.0,KHOI BAN LE
114600216335,14.0,KHOI QUAN LY RUI RO
115600216440,15.0,KHOI TAC NGHIEP
115600216446,15.0,KHOI TAC NGHIEP
117700216618,17.0,KHOI HO TRO
119000216000,19.0,BO PHAN CHUNG
120700216950,20.0,BAN LANH DAO
21799,,
111100217021,11.0,KHOI BAN BUON
111100217022,11.0,KHOI BAN BUON
112100217121,12.0,KHOI BAN LE
112100217122,12.0,KHOI BAN LE
112100217150,12.0,KHOI BAN LE
112100217151,12.0,KHOI BAN LE
112100217152,12.0,KHOI BAN LE
112100217153,12.0,KHOI BAN LE
114600217335,14.0,KHOI QUAN LY RUI RO
115600217440,15.0,KHOI TAC NGHIEP
115600217446,15.0,KHOI TAC NGHIEP
115700217465,15.0,KHOI TAC NGHIEP
117700217618,17.0,KHOI HO TRO
119000217000,19.0,BO PHAN CHUNG
120700217950,20.0,BAN LANH DAO
22099,,
111100220021,11.0,KHOI BAN BUON
111100220022,11.0,KHOI BAN BUON
111100220023,11.0,KHOI BAN BUON
112100220121,12.0,KHOI BAN LE
112100220122,12.0,KHOI BAN LE
112100220123,12.0,KHOI BAN LE
