Lv0,Lv1,Lv2,Lv3,Lv4,LvPK,Size
1.22401E+11,1.174E+11,1.17501E+11,1.17501E+11,1.11301E+11,19,440
1.22401E+11,1.13101E+12,1.13101E+12,1.13101E+12,1.13101E+12,31,24307
1.22401E+11,1.174E+11,1.19501E+11,1.19501E+11,1.19501E+11,11,406
1.174E+11,1.174E+11,1.16501E+11,1.16501E+11,1.11301E+11,22,795861
1.22401E+11,1.174E+11,1.17401E+11,1.11501E+11,1.11101E+11,13,1
1.16501E+11,1.16501E+11,1.16501E+11,1.16501E+11,1.10101E+11,11,0
1.22401E+11,1.174E+11,1.17401E+11,1.15201E+11,1.15201E+11,21,14228
1.174E+11,1.174E+11,1.17401E+11,1.17501E+11,1.10101E+11,14,43
1.17401E+11,1.17401E+11,1.17401E+11,1.22501E+11,1.13101E+12,41,14933
1.174E+11,1.174E+11,1.17501E+11,1.17501E+11,1.13101E+12,23,222413
1.12501E+11,1.12501E+11,1.12501E+11,1.12501E+11,1.11301E+11,13,565303
1.174E+11,1.174E+11,1.17401E+11,1.17501E+11,1.11101E+11,51,19
1.22401E+11,1.174E+11,1.17401E+11,1.13401E+11,1.13401E+11,12,80
1.22401E+11,1.17401E+11,1.17401E+11,1.12501E+11,1.11301E+11,19,6
1.22401E+11,1.174E+11,1.17401E+11,1.22501E+11,1.13101E+12,24,0
1.22401E+11,1.174E+11,1.12301E+11,1.12301E+11,1.12301E+11,15,44462
1.17501E+11,1.17501E+11,1.17501E+11,1.17501E+11,1.13101E+12,15,28182
1.174E+11,1.174E+11,1.12201E+11,1.12201E+11,1.12201E+11,61,43486
1.22401E+11,1.174E+11,1.15501E+11,1.15501E+11,1.13101E+12,13,0
1.174E+11,1.174E+11,1.17401E+11,1.16501E+11,1.12201E+12,21,16363
1.14501E+11,1.14501E+11,1.14501E+11,1.14501E+11,1.13101E+12,61,12083
1.17401E+11,1.17401E+11,1.17401E+11,1.22501E+11,1.13101E+12,19,19132
1.22401E+11,1.174E+11,1.16501E+11,1.16501E+11,1.11301E+11,99,35256
1.17501E+11,1.17501E+11,1.17501E+11,1.17501E+11,1.11301E+11,22,21172758
1.174E+11,1.174E+11,1.17401E+11,1.12501E+11,1.11301E+11,23,0
1.174E+11,1.174E+11,1.17401E+11,1.15501E+11,1.12201E+12,41,0
1.22401E+11,1.174E+11,1.11501E+11,1.11501E+11,1.12201E+11,23,23
1.22401E+11,1.174E+11,1.15201E+11,1.15201E+11,1.15201E+11,61,2456
1.22401E+11,1.174E+11,1.17401E+11,1.15501E+11,1.11101E+11,12,512
1.174E+11,1.174E+11,1.17401E+11,1.15501E+11,1.11301E+11,24,2533
1.22401E+11,1.174E+11,1.11501E+11,1.11501E+11,1.12201E+12,12,234
1.15501E+11,1.15501E+11,1.15501E+11,1.15501E+11,1.12301E+11,19,9377
1.174E+11,1.174E+11,1.15501E+11,1.15501E+11,1.10101E+11,15,23760
1.22401E+11,1.17401E+11,1.17401E+11,1.16501E+11,1.13101E+12,90,11
1.21501E+11,1.21501E+11,1.21501E+11,1.21501E+11,1.12301E+11,41,3055154
1.22401E+11,1.174E+11,1.17401E+11,1.16501E+11,1.11101E+11,21,34
1.22401E+11,1.174E+11,1.16501E+11,1.16501E+11,1.11301E+11,51,191
1.174E+11,1.174E+11,1.14501E+11,1.14501E+11,1.12301E+11,21,376593057
1.21501E+11,1.21501E+11,1.21501E+11,1.21501E+11,1.11101E+11,11,34990959
1.17401E+11,1.17401E+11,1.17401E+11,1.12501E+11,1.11301E+11,23,275419
1.174E+11,1.174E+11,1.22501E+11,1.22501E+11,1.12201E+12,13,0
1.17401E+11,1.17401E+11,1.17401E+11,1.11501E+11,1.11301E+11,90,13085
1.15501E+11,1.15501E+11,1.15501E+11,1.15501E+11,1.11101E+11,12,27770430
1.22401E+11,1.17401E+11,1.17401E+11,1.17501E+11,1.12301E+11,31,23
1.22401E+11,1.16501E+11,1.16501E+11,1.16501E+11,1.11301E+11,61,355
1.22401E+11,1.16501E+11,1.16501E+11,1.16501E+11,1.11301E+11,61,178
1.22401E+11,1.174E+11,1.17401E+11,1.15501E+11,1.11301E+11,90,179
1.174E+11,1.174E+11,1.17401E+11,1.17501E+11,1.11301E+11,14,56
1.22401E+11,1.15501E+11,1.15501E+11,1.15501E+11,1.11301E+11,24,28
1.17501E+11,1.17501E+11,1.17501E+11,1.17501E+11,1.13101E+12,19,16453
1.174E+11,1.174E+11,1.17401E+11,1.17501E+11,1.13101E+12,51,1
1.174E+11,1.174E+11,1.22501E+11,1.22501E+11,1.11301E+11,51,5030
1.16501E+11,1.16501E+11,1.16501E+11,1.16501E+11,1.13101E+12,31,88290
1.22401E+11,1.17401E+11,1.17401E+11,1.17501E+11,1.11301E+11,90,403
1.15501E+11,1.15501E+11,1.15501E+11,1.15501E+11,1.12201E+12,24,28772
